ID,Group,Feature_1,Feature_2,Feature_3
ID763,C,2799.3963208043506,411.32279754315647,-2376.4993923052493
ID204,C,2327.3616177624003,376.9534546275648,-1941.9928890310173
ID734,C,2583.7657462921047,385.6197124301569,-2196.406723010188
ID422,B,2854.4979089161484,407.89747762203325,5726.359812328484
ID559,C,2317.2972221979826,388.5925871183906,-1912.6505315290751
ID432,A,2324.31807521348,394.7789313609631,5021.120784150634
ID337,B,2600.526406260765,375.6971693581919,5181.060556388089
ID347,C,2824.700261477076,420.5531383560748,-2406.637884589632
ID774,C,2325.6567629994024,417.08478426486806,-1914.876645311355
ID142,B,2075.762575649357,418.93827796921573,4137.263962864043
ID892,B,2487.0948647519763,401.7044974295055,4973.93544199174
ID898,B,2757.1362913749986,402.5232202108042,5508.118964395339
ID345,B,2501.602415301877,386.2674117956806,5016.750459132305
ID290,A,2376.9049798205433,390.6979137245854,5167.576031218004
ID853,B,2681.705560809557,375.5064727281616,5375.828415697408
ID581,C,1992.6955527556945,392.79623960180766,-1564.2838646117586
ID602,A,3275.07985283401,389.0749752695838,7885.656457667103
ID179,A,2463.0654135995046,424.37452776322976,5277.475347858071
ID584,A,2557.0844164990685,371.9362355240214,5795.071041705752
ID707,A,2746.147925251468,404.6756757754773,6223.262642292995
ID154,A,2403.1635329891883,404.61254540742607,5196.638052345331
ID442,A,2494.9913985663143,400.53714741209575,5487.144788384134
ID849,C,2145.118865860285,390.71095820377775,-1767.7844919392521
ID119,A,2058.7799794135926,399.43434200209094,4202.130814885225
ID790,A,2334.6090138944464,397.21784407293114,5023.825819900477
ID619,C,3103.2311966941625,386.75540468934247,-2702.8282206732183
ID488,C,2425.63685968019,397.9155237313488,-2035.528889035834
ID554,A,2808.4794583805174,402.3435364252017,6415.259214184119
ID259,A,2620.2796509778277,388.6291522390908,5905.222932177609
ID873,B,2375.9495748954137,400.4604574009398,4733.475086441497
ID697,B,3043.1564850850527,406.2757642556654,6085.400330692258
ID701,C,2801.5906648448617,394.6207608772254,-2401.668064882285
ID416,C,2727.018251545043,404.5723328798765,-2310.7538804365395
ID338,B,2986.763542074853,375.0580239477595,5986.412580505975
ID224,B,2324.159585576695,357.0312872123619,4672.086594172582
ID227,C,2186.3714822568227,391.9840703213343,-1803.4427966898024
